"id","code","name","level"
"908","I030101","Set Seprei & Sarung Bantal Guling","4"
"909","I030102","Sarung Bantal","4"
"910","I030103","Sarung Guling","4"
"911","I030104","Set Bedcover","4"
"912","I030105","Sprei","4"
"913","I0302","Selimut & Bedcover","3"
"914","I030201","Selimut","4"
"915","I030202","Duvet","4"
"916","I030203","Comforter & Quilt","4"
"917","I030204","Selimut Elektrik","4"
"918","I030205","Set Comforter","4"
"919","I030206","Bedcover","4"
"920","I0303","Bantal","3"
"921","I030301","Bantal Ranjang","4"
"922","I030302","Bantal Leher","4"
"923","I030303","Bantal Khusus","4"
"924","I030304","Guling","4"
"925","I030305","Bantal Dekorasi, isi & Sarung","4"
"926","I0304","Perangkat Sprei","3"
"927","I030401","Set Comforter","4"
"928","I030402","Set Sprei & Bantal","4"
"929","I030403","Sprei Kamar Bayi","4"
"930","I0305","Aksesoris Tempat Tidur","3"
"931","I030501","Alas & Pelindung Matras","4"
